"productCode","name","price","description","imageURL","unit","Category code","Group code"
"","PEYMAN RRUSH I THATE 200GR",135,"PEYMAN RRUSH I THATE 200GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm06549.jpg","cope","",""
"","PEYMAN STIKA 110 GR",519,"PEYMAN STIKA 110 GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/STIKA.jpg","cope","",""
"","BALOCCO BISKOTA BASTONCINI 350GR",185,"BALOCCO BISKOTA BASTONCINI 350GR","https://bli.ecomarket.al/wp-content/uploads/2020/12/SM03009.jpg","cope","",""
"","BALOCCO BISKOTA ZUPPOLO 700GR",229,"BALOCCO BISKOTA ZUPPOLO 700GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm03014.jpg","cope","",""
"","BARILLA MAKARONA BAVETTE NO13 500GR",99,"BARILLA MAKARONA BAVETTE NO13 500GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm00139.jpg","cope","",""
"","DIVELLA BISKOTA AL GRANO SARACENO 400GR",159,"DIVELLA BISKOTA AL GRANO SARACENO 400GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/BI037.png","cope","",""
"","BISKREM QESE KAKAO 170GR",85,"BISKREM QESE KAKAO 170GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm03890.png","cope","",""
"","DIVELLA BISKOTA GROTTOLI 700GR",249,"DIVELLA BISKOTA GROTTOLI 700GR","https://bli.ecomarket.al/wp-content/uploads/2020/03/divella7.png","cope","",""
"","DIVELLA BISKOTA INTEGR 400 GR",129,"DIVELLA BISKOTA INTEGR 400 GR","https://bli.ecomarket.al/wp-content/uploads/2020/03/divella3.png","cope","",""
"","DIVELLA BISKOTA INTEGRALI 700GR",249,"DIVELLA BISKOTA INTEGRALI 700GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/bi030.jpg","cope","",""
"","DIVELLA BISKOTA KAKAO & COKOLLATE 400GR",129,"DIVELLA BISKOTA KAKAO & COKOLLATE 400GR","https://bli.ecomarket.al/wp-content/uploads/2020/03/divella1.png","cope","",""
"","DIVELLA BISKOTA ME BAJAME 350GR",129,"DIVELLA BISKOTA ME BAJAME 350GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/bi020.jpg","cope","",""
"","DIVELLA BISKOTA ME COKOLLATE 400GR",129,"DIVELLA BISKOTA ME COKOLLATE 400GR","https://bli.ecomarket.al/wp-content/uploads/2020/03/divella2.png","cope","",""
"","DIVELLA BISKOTA ME FRUTA 350GR",129,"DIVELLA BISKOTA ME FRUTA 350GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/bi011.jpg","cope","",""
"","DIVELLA BISKOTA ME KAKAO 400GR",129,"DIVELLA BISKOTA ME KAKAO 400GR","https://bli.ecomarket.al/wp-content/uploads/2020/03/divella5.png","cope","",""
"","DIVELLA BISKOTA ME LAJTHI 350GR",129,"DIVELLA BISKOTA ME LAJTHI 350GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/bi021.jpg","cope","",""
"","DIVELLA BISKOTA ME LIMON 400GR",129,"DIVELLA BISKOTA ME LIMON 400GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/bi009.jpg","cope","",""
"","DIVELLA BISKOTA ME MJALTE 400GR",129,"DIVELLA BISKOTA ME MJALTE 400GR","https://bli.ecomarket.al/wp-content/uploads/2020/03/divella4.png","cope","",""
"","DIVELLA BISKOTA ME ORIZ &MISER 400GR",129,"DIVELLA BISKOTA ME ORIZ &MISER 400GR","https://bli.ecomarket.al/wp-content/uploads/2020/03/divella8.png","cope","",""
"","DIVELLA BISKOTA ME PANA 400GR",129,"DIVELLA BISKOTA ME PANA 400GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/bi003.jpg","cope","",""
"","DIVELLA BISKOTA PANA & KAKAO 400GR",129,"DIVELLA BISKOTA PANA & KAKAO 400GR","https://bli.ecomarket.al/wp-content/uploads/2020/03/divella6.png","cope","",""
"","FINETI DIPS ME SHKOP 45GR",129,"FINETI DIPS ME SHKOP 45GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM09852.png","cope","",""
"","GULLON BISCOTTI PRIMA COLAZIONE 5 CEREALI 400GR",189,"GULLON BISCOTTI PRIMA COLAZIONE 5 CEREALI 400GR","https://bli.ecomarket.al/wp-content/uploads/2020/03/SM29440.jpg","cope","",""
"","GULLON BISKOTA INTEGRALE ME FRUTA E FIBRA 300GR",159,"GULLON BISKOTA INTEGRALE ME FRUTA E FIBRA 300GR","https://bli.ecomarket.al/wp-content/uploads/2020/03/SM10309.jpg","cope","",""
"","GULLON BISKOTA INTEGRALE TRADICIONALE 300GR",149,"GULLON BISKOTA INTEGRALE TRADICIONALE 300GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm10310.png","cope","",""
"","GULLON BISKOTA TWINS 176GR",95,"GULLON BISKOTA TWINS 176GR","https://bli.ecomarket.al/wp-content/uploads/2020/03/SM23233.jpg","cope","",""
"","MIDI BISKOTA BONCIO GOCCE CIOCCOLA 700GR",265,"MIDI BISKOTA BONCIO GOCCE CIOCCOLA 700GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm03511.jpg","cope","",""
"","MULINO BIANCO PAN DI STELLE BISKOTA 350GR",279,"MULINO BIANCO PAN DI STELLE BISKOTA 350GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm00166.jpg","cope","",""
"","OREO BISKOTE BROWNIE 154GR",149,"OREO BISKOTE BROWNIE 154GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm26720.jpg","cope","",""
"","OREO BISKOTE SANDWITCH ORIGINAL 110G",105,"OREO BISKOTE SANDWITCH ORIGINAL 110G","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm28423.jpg","cope","",""
"","MIDI BISKOTA NOTI MAGICHE 700GR",265,"MIDI BISKOTA NOTI MAGICHE 700GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm03509.jpg","cope","",""
"","MIDI BISKOTA MATTI 700GR",265,"MIDI BISKOTA MATTI 700GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm03512.jpg","cope","",""
"","MIDI BISKOTA ROUTINE 700GR",265,"MIDI BISKOTA ROUTINE 700GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm03508.jpg","cope","",""
"","RINGO BISKOTA TUBO ME KAKA0 165GR",115,"RINGO BISKOTA TUBO ME KAKA0 165GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm00167.jpg","cope","",""
"","RINGO BISKOTA TUBO ME VANILJE 165GR",115,"RINGO BISKOTA TUBO ME VANILJE 165GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm00168.jpg","cope","",""
"","TAGANI GURABIE GJALPI 400GR",95,"TAGANI GURABIE GJALPI 400GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM06711.png","cope","",""
"","TAGANI BISKOTA CAJI 400GR",85,"TAGANI BISKOTA CAJI 400GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM16131.png","cope","",""
"","ALGERIA GRURE PER ASHURE 500GR",150,"ALGERIA GRURE PER ASHURE 500GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/ALGERIA-GRURE-PER-ASHURE-500GR.png","cope","",""
"","CALVE GJALPE KIKIRIKU KROKANT 350GR",399,"CALVE GJALPE KIKIRIKU KROKANT 350GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/SM00821.png","cope","",""
"","CHEERIOS CORNFLAKES 375GR",430,"CHEERIOS CORNFLAKES 375GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/sm16694.jpg","cope","",""
"","KELLOGG'S CORNFLAKES 250GR",235,"KELLOGG'S CORNFLAKES 250GR","https://bli.ecomarket.al/wp-content/uploads/2020/04/KELLOGGS-CORNFLAKES-250GR.jpg","cope","",""
